Rank, Site, System, Cores, Rmax (TFlop/s), Rpeak (TFlop/s), Power (kW),Country
470,Internet Company AChina,Internet Company A R1 - Lenovo RD550 Xeon E5-2682v4 16C 2.5GHz 10G Ethernet                    Lenovo,34560,745.4,1382.4,,China
471,Service ProviderKorea South,Cluster Platform DL380 Xeon E5-2680v4 14C 2.4GHz 10G Ethernet                    HPE,32200,744,1236.5,,Korea South
472,GovernmentChina,Sugon TC6000 Xeon E5-2680v4 14C 2.4GHz 10G Ethernet                    Sugon,39200,742.4,1505.3,588,China
473,Internet Company (I)China,video_system - Sugon W580-G20 Xeon E5-2650v4 12C 2.2GHz 10G Ethernet                    Sugon,43200,742.3,1520.6,540,China
474,Internet CompanyChina,Sugon TC6000 Xeon E5-2650v4 12C 2.2GHz 10G Ethernet                    Sugon,43200,741.8,1520.6,900,China
475,National Institute for Materials ScienceJapan,Numerical Materials Simulator - SGI ICE X Xeon E5-2680v3 12C 2.5GHz Infiniband FDR                    HPE,25056,741.7,1002.2,405,Japan
476,Internet Service (B)China,Lenovo RD550 Xeon E5-2682v4 16C 2.5GHz 10G Ethernet                    Lenovo,38400,740.4,1536,,China
477,University of FloridaUnited States,HiperGator 2.0 - PowerEdge C6320 Xeon E5-2698v3 16C 2.3GHz Infiniband                    Dell EMC,29184,738.1,1074,384,United States
478,LASG/Institute of Atmospheric Physics CASChina,Earth System Numerical Simulator - Sugon Cluster TC4600E Xeon E5-2680v3 12C 2.5GHz Infiniband FDR                    Sugon,24912,738,996.5,540,China
479,Service Provider TChina,Internet Company T V1 - Lenovo RD450 Xeon E5-2670v3 12C 2.3GHz 10G Ethernet                    Lenovo,38400,734.8,1413.1,,China
480,GovernmentChina,Sugon TC6000 Xeon E5-2690v4 14C 2.6GHz 10G Ethernet                    Sugon,35840,734.7,1490.9,576,China
481,Manufacturing Company BGermany,FusionServer X6800/XH620 V3 Cluster Xeon E5-2650v4 12C 2.2GHz Infiniband QDR                    Huawei Technologies Co. Ltd.,27960,733.9,984.2,336,Germany
482,Internet CompanyChina,Sugon TC6000 Xeon E5-2620v4 8C 2.1GHz 10G Ethernet                    Sugon,44800,733.7,1505.3,650,China
483,GovernmentChina,HC2000 Cluster Xeon E5-2620v3 6C 2.4GHz Infiniband FDR NVIDIA Tesla K40                    Sugon,14400,731.2,1236.2,400,China
484,Information Technology Company (P)China,Cluster Platform DL360 Xeon E5-2650v4 12C 2.2GHz 10G Ethernet                    HPE,34896,731.2,1228.3,,China
485,Telecom CompanyChina,CMCluster - Sugon TC6000 Xeon Gold 5118 12C 2.3GHz 10G Ethernet                    Sugon,40320,730.7,1483.8,504,China
486,Internet Service AChina,Inspur TS10000 HPC Server Intel Xeon E5-2650v2  8C 2.6GHz 10G Ethernet NVIDIA Tesla K40                    Inspur,15640,730.1,1085.6,225,China
487,Internet CompanyChina,Sugon TC6000 Xeon E5-2650v3 10C 2.3GHz 10G Ethernet                    Sugon,40000,725,1472,990,China
488,Internet Company AChina,Lenovo RD450 Xeon E5-2682v4 16C 2.5GHz 10G Ethernet                    Lenovo,36864,721.1,1474.6,,China
489,Internet Company AChina,Lenovo RD450 Xeon E5-2682v4 16C 2.5GHz 10G Ethernet                    Lenovo,36864,721.1,1474.6,,China
490,Internet Company AChina,Lenovo RD450 Xeon E5-2682v4 16C 2.5GHz 10G Ethernet                    Lenovo,36864,721.1,1474.6,,China
491,Internet Company AChina,Lenovo RD450 Xeon E5-2682v4 16C 2.5GHz 10G Ethernet                    Lenovo,36864,721.1,1474.6,,China
492,Internet Company AChina,Lenovo RD450 Xeon E5-2682v4 16C 2.5GHz 10G Ethernet                    Lenovo,36864,721.1,1474.6,,China
493,Internet Company AChina,Lenovo RD450 Xeon E5-2682v4 16C 2.5GHz 10G Ethernet                    Lenovo,36864,721.1,1474.6,,China
494,Internet Company AChina,Lenovo RD450 Xeon E5-2682v4 16C 2.5GHz 10G Ethernet                    Lenovo,36864,721.1,1474.6,,China
495,Internet Company AChina,Lenovo RD450 Xeon E5-2682v4 16C 2.5GHz 10G Ethernet                    Lenovo,36864,721.1,1474.6,,China
496,Indian Institute of Tropical MeteorologyIndia,iDataPlex DX360M4 Xeon E5-2670 8C 2.600GHz Infiniband FDR                    IBM,38016,719.2,790.7,790,India
497,DOE/SC/Argonne National LaboratoryUnited States,Cetus - BlueGene/Q Power BQC 16C 1.600GHz Custom Interconnect                    IBM,65536,715.6,838.9,329,United States
498,EDF R&DFrance,Zumbrota - BlueGene/Q Power BQC 16C 1.60GHz Custom                    IBM,65536,715.6,838.9,329,France
